Delay(ms) Loss(%) Average_Goodput(Mbps) Std_Dev(Mbps)
10 1 17,90 3,06
10 3 7,72 0,73
10 5 5,06 0,70
100 1 2,90 1,26
100 3 433,05 458,37
100 5 615,30 289,06
300 1 99,32 232,45
300 3 437,20 307,77
300 5 406,90 221,88
