Congestion_Control Loss(%) Average_Goodput(Mbps) Std_Dev(Mbps)
bic 1 93,00 0,00
bic 3 92,70 0,71
bic 5 87,15 4,17
cubic 1 92,85 0,48
cubic 3 63,80 5,90
cubic 5 24,05 5,69
reno 1 92,95 0,22
reno 3 87,95 2,85
reno 5 67,85 3,72
vegas 1 85,35 1,24
vegas 3 59,95 4,88
vegas 5 38,68 3,61
